Smartv,#genre#
博斯网球,http://23.26.147.19:1258/Smartv.php?id=bositennis_twn
博斯运动2,http://23.26.147.19:1258/Smartv.php?id=bosisport2_twn
博斯高球1,http://23.26.147.19:1258/Smartv.php?id=bosigolf1_twn
博斯高球1,http://23.26.147.19:1258/Smartv.php?id=bosigolf1_twn
好莱坞电影,http://23.26.147.19:1258/Smartv.php?id=hollywoodmovies_twn
爱尔达体育1,http://23.26.147.19:1258/Smartv.php?id=eltasport2_twn
爱尔达体育2,http://23.26.147.19:1258/Smartv.php?id=eltasport2_twn
探索亚洲,http://23.26.147.19:1258/Smartv.php?id=discoverytwn_twn
探索动力,http://23.26.147.19:1258/Smartv.php?id=discoveryturbo_twn
星卫电影,http://23.26.147.19:1258/Smartv.php?id=xingwei_movie
时尚,http://23.26.147.19:1258/Smartv.php?id=fashiontv_twn
东森财经,http://23.26.147.19:1258/Smartv.php?id=ettvcaijing_twn
东森超视,http://23.26.147.19:1258/Smartv.php?id=ettvsuper
民视新闻,http://23.26.147.19:1258/Smartv.php?id=ftvnew_taiwan
美亚电影,http://23.26.147.19:1258/Smartv.php?id=meiyamovie_twn
靖天卡通,http://23.26.147.19:1258/Smartv.php?id=jingtiancartoon_twn
非凡新闻,http://23.26.147.19:1258/Smartv.php?id=feifannews_twn
龙华戏剧,http://23.26.147.19:1258/Smartv.php?id=lunghuaxiju_twn
Awani,http://23.26.147.19:1258/Smartv.php?id=Awani
BBC,http://23.26.147.19:1258/Smartv.php?id=bbc1_antik
BBC1,http://23.26.147.19:1258/Smartv.php?id=bbc1_antik
BBC2,http://23.26.147.19:1258/Smartv.php?id=bbc2_antik
BBC WORLD NEWS,http://23.26.147.19:1258/Smartv.php?id=bbcnews_twn
BTSports4,http://23.26.147.19:1258/Smartv.php?id=btespn
CNA亚洲新闻,http://23.26.147.19:1258/Smartv.php?id=cna
Euronews,http://23.26.147.19:1258/Smartv.php?id=euronews_antik
TLC旅游生活,http://23.26.147.19:1258/Smartv.php?id=tlc_twn
新加坡8,http://23.26.147.19:1258/Smartv.php?id=TV8
翡翠,http://23.26.147.19:1258/Smartv.php?id=jade_twn
翡翠,http://23.26.147.19:1258/Smartv.php?id=Wlt
